DATA_FILE,DATA_TAG,PARAMETER_FILE,START_TIME,STOP_TIME,TRIAL_DURATION,TASK_NO,REPETITION_NO,BLOCK_NO,TRIAL_NO,ANGLE_0,ANGLE_1,IMAGE_0_PROB_HIGH_FOCUS,IMAGE_1_PROB_HIGH_FOCUS,WAIT_FOR_MOUSE_TIME,ENTER_CIRCLE_TIME,TIME_TO_TARGET,DECISION_TIME,IMAGE_CHOSEN,PROBABILITY,FOCUS_TYPE,TARGET_STRING,FIRST_TARGET_LETTER,FIRST_TARGET_INDEX,SECOND_TARGET_LETTER,SECOND_TARGET_INDEX,DISTANCE,CORRECT_ANSWER,SUBJ_ANSWER,ACCURACY,VERSION
JUNK,NONE,DEBUG,138533,145166,6633,6,1,1,1,0,180,90,10,431,952,1005,1842,IMAGE_0,90,HIGH_FOCUS,76379C138412902454B6!,C,6,B,19,13,LEFT,RIGHT,INCORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,145982,151075,5093,6,1,1,2,0,180,90,10,192,93,1005,822,IMAGE_0,90,HIGH_FOCUS,45958V74E81696526796!,V,6,E,9,3,LEFT,LEFT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,151490,156093,4603,6,1,1,3,0,180,90,10,256,71,1004,1030,IMAGE_0,90,HIGH_FOCUS,903816A608D404747345!,A,7,D,11,4,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,156863,161850,4987,6,1,1,4,0,180,90,10,233,97,1006,2045,IMAGE_0,90,HIGH_FOCUS,53101P41645935758703!,P,6,*,0,-6,MIDDLE,MIDDLE,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,162192,168167,5975,6,1,2,1,240,60,90,10,202,857,1004,2048,IMAGE_1,10,LOW_FOCUS,324540Z4284519681304!,Z,7,*,0,-7,MIDDLE,MIDDLE,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,168527,173692,5165,6,1,2,2,240,60,90,10,212,106,1005,2054,IMAGE_1,10,LOW_FOCUS,8373520520A525790646!,A,11,*,0,-11,MIDDLE,MIDDLE,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,174206,185762,11556,6,1,2,3,240,60,90,10,226,284,1002,1429,IMAGE_0,90,HIGH_FOCUS,973270268Q2921U65067!,Q,10,U,15,5,RIGHT,LEFT,INCORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,186866,192137,5271,6,1,2,4,240,60,90,10,1,528,1002,1328,IMAGE_1,10,HIGH_FOCUS,535284125U238A460536!,U,10,A,14,4,LEFT,LEFT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,192401,198025,5624,6,1,3,1,120,300,90,10,1,487,1001,2046,IMAGE_0,90,HIGH_FOCUS,046136V8428962542867!,V,7,*,0,-7,MIDDLE,MIDDLE,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,198691,203709,5018,6,1,3,2,120,300,90,10,1,330,1006,1335,IMAGE_0,90,HIGH_FOCUS,708276P265281Q279279!,P,7,Q,14,7,RIGHT,MIDDLE,INCORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
